"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 04:20:17 UTC 2023","Tue Oct 24 04:20:26 UTC 2023","8325","Login1","test3","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"failed","Tue Oct 24 04:20:40 UTC 2023","Tue Oct 24 04:20:47 UTC 2023","6680","Login1","test3","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with Valid credentials"
"failed","Tue Oct 24 04:20:34 UTC 2023","Tue Oct 24 04:20:40 UTC 2023","6024","Login1","test3","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with Valid credentials"
"failed","Tue Oct 24 04:19:58 UTC 2023","Tue Oct 24 04:20:05 UTC 2023","7007","Login1","test1","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with Valid credentials"
"failed","Tue Oct 24 04:19:50 UTC 2023","Tue Oct 24 04:19:58 UTC 2023","8228","Login1","test1","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Tue Oct 24 04:19:12 UTC 2023","Tue Oct 24 04:19:47 UTC 2023","34984","Login1","test1","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"failed","Tue Oct 24 04:20:26 UTC 2023","Tue Oct 24 04:20:34 UTC 2023","7996","Login1","test3","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"failed","Tue Oct 24 04:20:06 UTC 2023","Tue Oct 24 04:20:12 UTC 2023","6104","Login1","test1","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with Valid credentials"
